name,budget,release_date,vote_average,adult,id,language,popularity,revenue,runtime,status,tagline,title,vote_count,First_genre,Second_genre,Third_genre,collection_name
"Pianese Nunzio, 14 anni a maggio",0,1996-09-05,7.3,False,12814,it,1.095,0,114.0,Released,"Transgressive, provocative, and harsh: the second effort by Antonio Capuano after ""Vito and others"" is a film that will be discuss at length.",Sacred Silence,6,Drama,Crime,Romance,
White Terror,0,2005-01-01,6.8,False,12815,de,0.6,0,90.0,Released,,White Terror,4,Documentary,,,
Skinhead Attitude,0,2003-08-08,7.0,False,12816,en,1.936,0,90.0,Released,,Skinhead Attitude,8,Documentary,,,
Echo der Berge,0,1954-11-25,4.5,False,12817,de,0.6,0,100.0,Released,,Echo der Berge,2,Drama,,,
Everybody Wants to Be Italian,1100000,2007-09-18,5.3,False,12818,en,2.9939999999999998,0,105.0,Released,,Everybody Wants to Be Italian,15,Comedy,Romance,,
Alpha and Omega,20000000,2010-09-17,5.4,False,12819,en,7.895,50500000,88.0,Released,A Pawsome 3D Adventure,Alpha and Omega,251,,,,Alpha and Omega Collection
Steel Sharks,0,1996-01-01,2.5,False,12821,en,1.425,0,94.0,Released,Below the waves there's only one option... Escape or die!,Steel Sharks,2,Action,Adventure,Thriller,
Giorni e nuvole,0,2007-09-12,7.0,False,12823,it,2.173,0,115.0,Released,,Days and Clouds,30,Drama,,,
"Schöner Gigolo, armer Gigolo",0,1978-11-16,5.1,False,12826,de,1.3659999999999999,0,147.0,Released,,Just a Gigolo,8,Drama,,,
No. 2,5000000,2006-02-16,6.0,False,12828,en,1.9469999999999998,0,94.0,Released,One place. One night.,No. 2,3,Comedy,Drama,,
Amerikana,0,2001-05-15,5.0,False,12831,en,1.876,0,95.0,Released,,Amerikana,1,Comedy,Adventure,,
Anonyma - Eine Frau in Berlin,0,2008-10-23,6.6,False,12832,de,2.2,0,131.0,Released,World War II ends and her story begins...,A Woman in Berlin,23,Drama,War,History,
Leaves of Grass,9000000,2009-09-13,6.0,False,12834,en,7.2589999999999995,985117,104.0,Released,"Drugs, Murder, and Brotherly Love.",Leaves of Grass,226,Comedy,Crime,Thriller,
The Secret Life of Bees,11000000,2008-09-17,7.4,False,12837,en,5.507000000000001,38105395,114.0,Released,"Bring Your Girlfriends, Sisters, Mothers and Daughters.",The Secret Life of Bees,271,Adventure,Drama,,
Chacun sa nuit,0,2006-07-21,6.4,False,12838,fr,4.75,0,95.0,Released,,One to Another,18,Drama,,,
The Curiosity of Chance,0,2006-10-21,6.1,False,12839,en,4.227,0,95.0,Released,The only way he could fit in was to stand out,The Curiosity of Chance,26,Comedy,Drama,,
L'homme de sa vie,0,2006-09-08,6.7,False,12840,fr,1.423,0,114.0,Released,,The Man of My Life,19,Drama,Comedy,Romance,
"Knutschen, kuscheln, jubilieren",0,1998-01-01,0.0,False,12841,en,0.6,0,87.0,Released,,"Kiss, Cuddle and Celebrate",0,,,,
Blue State,0,2007-04-27,6.2,False,12855,en,3.656,0,88.0,Released,,Blue State,23,Comedy,Drama,Romance,
Dead Man's Shoes,0,2004-09-29,7.1,False,12877,en,8.466000000000001,0,90.0,Released,He's in all of us.,Dead Man's Shoes,278,Drama,Thriller,Crime,
Mondscheinkinder,0,2006-12-14,4.8,False,12879,de,0.6,0,86.0,Released,,Children of the Moon,4,Drama,,,
Dalai Lama Renaissance,0,2007-06-26,7.0,False,12880,en,0.6,0,81.0,Released,,Dalai Lama Renaissance,1,,,,
Belly,0,1996-01-01,0.0,False,12887,en,0.847,0,,Released,,Belly,0,Crime,Drama,,
Belly,0,1998-11-04,5.9,False,12888,en,4.519,0,96.0,Released,"Money, power, respect... but who's got your back?",Belly,73,Crime,Drama,,
Futurama: The Beast with a Billion Backs,0,2008-06-30,7.0,False,12889,en,6.1770000000000005,0,90.0,Released,All-New Feature-Length Adventure!,Futurama: The Beast with a Billion Backs,276,,,,Futurama Collection
Smart People,7000000,2008-04-11,5.9,False,12890,en,8.299,10569964,95.0,Released,Sometimes the smartest people have the most to learn,Smart People,139,Comedy,Drama,Romance,
Conspiracy,0,2001-05-19,7.2,False,12900,en,7.196000000000001,0,96.0,Released,One meeting. Six million lives.,Conspiracy,145,Drama,History,,
No End in Sight,2000000,2007-07-27,7.9,False,12901,en,5.63,1431623,102.0,Released,The American Occupation of Iraq. The Inside Story From the Ultimate Insiders.,No End in Sight,42,Documentary,,,
Scooby-Doo! and the Loch Ness Monster,0,2004-06-21,6.6,False,12902,en,9.085,0,74.0,Released,,Scooby-Doo! and the Loch Ness Monster,121,,,,
Scooby-Doo! and the Goblin King,0,2008-01-01,6.4,False,12903,en,10.550999999999998,0,75.0,Released,,Scooby-Doo! and the Goblin King,47,,,,
Vercingétorix,0,2001-01-24,3.1,False,12911,fr,1.69,0,124.0,Released,,The Gaul,25,Action,,,
Chaos Theory,0,2008-03-14,6.2,False,12912,en,7.84,240476,87.0,Released,This man will bring order to the universe...or not.,Chaos Theory,207,Comedy,Romance,,
Stargate: Continuum,7000000,2008-07-29,6.9,False,12914,en,8.54,0,98.0,Released,History may never repeat itself again.,Stargate: Continuum,229,Adventure,Science Fiction,TV Movie,Stargate Collection
Can't Buy Me Love,1800000,1987-08-14,6.8,False,12919,en,7.809,31623833,94.0,Released,Ronald is making an investment in his senior year. He's hiring the prettiest cheerleader in school to be his girlfriend.,Can't Buy Me Love,315,,,,
Dreamer: Inspired By a True Story,0,2005-09-10,6.5,False,12920,en,6.425,0,106.0,Released,,Dreamer: Inspired By a True Story,170,Drama,Family,,
Strange Brew,0,1983-08-26,6.5,False,12921,en,6.626,0,90.0,Released,Something funny is brewing at Elsinore Castle...,Strange Brew,89,Comedy,,,
雲のむこう、約束の場所,0,2004-11-20,6.7,False,12924,ja,5.926,0,91.0,Released,"Against all odds, a promise will be kept.",The Place Promised in Our Early Days,255,,,,
Tiësto Elements of Life World Tour,0,2008-03-07,6.2,False,12963,en,0.955,0,240.0,Released,,Tiësto Elements of Life World Tour,3,Music,,,
The Nines,0,2007-01-21,6.1,False,12994,en,7.537000000000001,0,100.0,Released,Y9u never kn9w when y9ur number is up.,The Nines,234,,,,
Stargate: The Ark of Truth,7000000,2008-03-11,7.1,False,13001,en,7.431,8900000,97.0,Released,The lines have been drawn. The battle has been waged. Only one thing can save us...,Stargate: The Ark of Truth,224,Adventure,Science Fiction,TV Movie,Stargate Collection
Barbie in the 12 Dancing Princesses,0,2006-09-19,7.5,False,13002,en,10.11,0,83.0,Released,Enchanted dancing in a magical world!,Barbie in The 12 Dancing Princesses,461,Animation,Family,,Barbie Collection
Gonzo: The Life and Work of Dr. Hunter S. Thompson,0,2008-07-04,7.0,False,13003,en,4.603,0,120.0,Released,,Gonzo: The Life and Work of Dr. Hunter S. Thompson,59,Documentary,,,
Barbie and the Diamond Castle,0,2008-01-01,7.1,False,13004,en,17.426,0,78.0,Released,,Barbie and the Diamond Castle,419,Animation,Family,,Barbie Collection
Where the Buffalo Roam,0,1980-04-25,6.2,False,13005,en,6.308,6659377,99.0,Released,This ain't no safari- it's a party,Where the Buffalo Roam,78,Comedy,Drama,History,
Split Second,7000000,1992-05-01,6.0,False,13006,en,7.722,5430822,90.0,Released,He's seen the future. Now he has to kill it.,Split Second,119,Horror,Science Fiction,,
Religulous,0,2008-10-01,7.2,False,13007,en,7.425,0,101.0,Released,Heaven help us.,Religulous,324,Comedy,Documentary,,
An American Crime,2000000,2007-07-27,7.3,False,13008,en,7.564,0,97.0,Released,The true story of a child's punishment that became a woman's crime.,An American Crime,315,Crime,Drama,,
Zombie Strippers!,0,2008-04-18,4.5,False,13009,en,8.706,0,94.0,Released,Live Dead Nudes,Zombie Strippers!,166,Comedy,Horror,,
9/11: Press For Truth,0,2006-09-05,7.6,False,13010,en,2.239,0,125.0,Released,,9/11: Press For Truth,11,Documentary,,,
Felon,2900000,2008-07-17,7.2,False,13012,en,9.842,0,103.0,Released,No rule. No hope. No way out.,Felon,416,,,,
Son of Dracula,0,1974-04-12,2.8,False,13013,en,2.6839999999999997,0,90.0,Released,The First Rock-and-Roll Dracula Movie!,Son of Dracula,3,Comedy,Horror,Music,
The God Who Wasn't There,0,2005-05-21,6.3,False,13014,en,3.838,0,62.0,Released,,The God Who Wasn't There,51,Documentary,Drama,,
George Carlin: Life Is Worth Losing,0,2005-11-05,7.9,False,13015,en,5.642,0,74.0,Released,Some look at life on the bright side. He prefers the grave side.,George Carlin: Life Is Worth Losing,38,Documentary,Comedy,TV Movie,George Carlin Comedy Collection
Zeitgeist,7000000,2007-06-01,7.1,False,13016,en,6.6739999999999995,0,118.0,Released,,Zeitgeist,264,Documentary,History,,Zeitgeist Collection
Unstable Fables: Tortoise vs. Hare,0,2008-09-12,5.0,False,13017,en,3.804,0,80.0,Released,The rematch of the century,Unstable Fables: Tortoise vs. Hare,8,Animation,Drama,Family,Unstable Fables Collection
Deception,25000000,2008-04-24,5.8,False,13018,en,7.172999999999999,17741298,107.0,Released,"When you're in this world, no one is who they seem, and everyone is playing the game.",Deception,358,Thriller,,,
Young People Fucking,1500000,2007-09-05,5.9,False,13019,en,6.835,0,90.0,Released,Coming Together Has Never Been So Complicated.,Young People Fucking,113,Comedy,Drama,Romance,
Enron: The Smartest Guys in the Room,0,2005-04-22,7.2,False,13020,en,5.827000000000001,0,110.0,Released,It’s Just Business.,Enron: The Smartest Guys in the Room,142,Documentary,,,
Flakes,0,2007-01-01,5.3,False,13021,en,3.79,0,84.0,Released,,Flakes,32,Comedy,Romance,,
Rogue,0,2007-11-08,6.3,False,13022,en,8.499,0,99.0,Released,How Fast Can You Swim?,Rogue,278,Action,Horror,Thriller,
The Devil Came on Horseback,0,2007-01-19,7.3,False,13023,en,2.454,0,85.0,Released,A witness to evil. A force for peace. An unbelievable true story.,The Devil Came on Horseback,15,Documentary,,,
Dane Cook: Rough Around the Edges,0,2007-10-19,6.5,False,13024,en,2.485,0,60.0,Released,,Dane Cook: Rough Around the Edges,11,Comedy,,,
Diary of the Dead,2000000,2007-09-08,5.5,False,13025,en,9.597999999999999,5364858,95.0,Released,Where will you be when the end begins?,Diary of the Dead,352,Horror,Action,Science Fiction,Living Dead Collection
Everybody Loves Mickey,0,2003-11-03,6.3,False,13026,en,2.186,0,58.0,Released,,Everybody Loves Mickey,3,Family,Animation,,
Eagle Eye,10000000,2008-09-25,6.4,False,13027,en,14.879000000000001,0,118.0,Released,Don't walk. Run.,Eagle Eye,1704,Mystery,Thriller,Action,
Den Osynlige,0,2002-01-30,6.2,False,13040,en,3.909,0,92.0,Released,,The Invisible,21,Drama,Fantasy,Thriller,
El Topo,400000,1970-12-18,7.3,False,13041,es,6.525,0,120.0,Released,The Definitive Cult Spaghetti Western,El Topo,255,,,,
Presto,0,2008-06-18,7.9,False,13042,en,8.558,0,5.0,Released,An Amazing Five Minutes Of Animated Fun,Presto,578,Animation,Family,,
Camping,0,2006-04-26,5.6,False,13043,fr,5.377000000000001,0,95.0,Released,,Camping,537,Comedy,,,Camping Collection
Du jour au lendemain,0,2006-03-15,4.8,False,13044,fr,1.933,0,93.0,Released,,Du jour au lendemain,37,Comedy,,,
Le prix à payer,0,2007-04-04,5.3,False,13045,en,5.53,0,95.0,Released,,The Price to Pay,53,Comedy,,,
UFC 88: Breakthrough,0,2008-09-06,5.9,False,13046,en,1.3219999999999998,0,273.0,Released,,UFC 88: Breakthrough,4,,,,
UFC 87: Seek and Destroy,0,2008-08-09,5.0,False,13047,en,1.939,0,342.0,Released,,UFC 87: Seek and Destroy,5,,,,
UFC 86: Jackson vs. Griffin,0,2008-07-05,6.4,False,13048,en,0.6,0,180.0,Released,,UFC 86: Jackson vs. Griffin,4,,,,
Rampage Unchained,0,2008-07-01,0.0,False,13050,en,0.6,0,,Released,,Rampage Unchained,0,,,,
Max Payne,35000000,2008-10-15,5.2,False,13051,en,12.868,85416905,100.0,Released,"When a man has lost everything, he only has revenge.",Max Payne,1124,,,,
Bolt,150000000,2008-01-29,6.4,False,13053,en,18.496,309979994,98.0,Released,Fully Awesome. Ridonculous. Let It Begin.,Bolt,3670,,,,
Rise of the Footsoldier,4000000,2007-09-07,6.6,False,13054,en,7.311,0,119.0,Released,Based on the Shocking True Story,Rise of the Footsoldier,121,,,,Footsoldier Collection
Chance,75000,2002-09-22,7.4,False,13055,en,2.1830000000000003,0,75.0,Released,,Chance,6,Comedy,Drama,,
Punisher: War Zone,20500000,2008-12-05,5.7,False,13056,en,18.644000000000002,10089373,102.0,Released,Vengeance has a name,Punisher: War Zone,579,Action,Crime,,
Adulthood,0,2008-06-16,6.0,False,13058,en,5.349,0,99.0,Released,,Adulthood,75,Crime,Drama,,Kidulthood Collection
The Signal,50000,2008-02-22,6.0,False,13059,en,7.372999999999999,249905,103.0,Released,This is not a test.,The Signal,149,Horror,Science Fiction,Thriller,
Lifted,0,2006-12-28,7.6,False,13060,en,8.065,0,5.0,Released,Failure is an option.,Lifted,383,Family,Animation,Science Fiction,
Your Friend the Rat,0,2007-11-06,6.7,False,13061,en,8.764,0,11.0,Released,,Your Friend the Rat,134,Animation,Family,,
Boundin',0,2003-11-04,6.7,False,13062,en,9.562999999999999,0,5.0,Released,,Boundin',290,Music,Animation,Family,
Cannibal! The Musical,125000,1993-10-01,6.7,False,13063,en,7.171,0,97.0,Released,All Singing! All Dancing! All Flesh Eating!,Cannibal! The Musical,74,,,,
Airborne,2600000,1993-09-17,6.0,False,13064,en,3.798,2850263,91.0,Released,There are two kinds of people: those who get AIRBORNE...and those who don't.,Airborne,40,Action,Adventure,Comedy,
Finding Amanda,0,2008-06-27,5.1,False,13065,en,2.235,0,96.0,Released,"When it comes to screwing up their lives, some people don't know when to cry uncle.",Finding Amanda,25,Comedy,Drama,,
I Want Someone to Eat Cheese With,0,2006-01-01,5.4,False,13066,en,3.153,0,80.0,Released,,I Want Someone to Eat Cheese With,24,Comedy,Romance,,
In the Land of Women,10000000,2007-04-16,5.8,False,13067,en,5.739,17500000,97.0,Released,Get ready to fall,In the Land of Women,289,Romance,Comedy,Drama,
Rocket Science,0,2007-01-19,6.3,False,13068,en,5.797000000000001,0,101.0,Released,Life is easier done than said.,Rocket Science,98,Comedy,Drama,,
